cases,deaths,dateRep,cases_per_100k,deaths_per_1m
,,2019-12-31,,
,,2020-01-01,,
,,2020-01-02,,
,,2020-01-03,,
,,2020-01-04,,
,,2020-01-05,,
0.0,0.0,2020-01-06,0.0,0.0
0.0,0.0,2020-01-07,0.0,0.0
0.0,0.0,2020-01-08,0.0,0.0
0.0,0.0,2020-01-09,0.0,0.0
0.0,0.0,2020-01-10,0.0,0.0
0.0,0.0,2020-01-11,0.0,0.0
0.0,0.0,2020-01-12,0.0,0.0
0.0,0.0,2020-01-13,0.0,0.0
0.0,0.0,2020-01-14,0.0,0.0
0.0,0.0,2020-01-15,0.0,0.0
0.0,0.0,2020-01-16,0.0,0.0
0.0,0.0,2020-01-17,0.0,0.0
0.0,0.0,2020-01-18,0.0,0.0
0.0,0.0,2020-01-19,0.0,0.0
0.0,0.0,2020-01-20,0.0,0.0
0.0,0.0,2020-01-21,0.0,0.0
0.0,0.0,2020-01-22,0.0,0.0
0.0,0.0,2020-01-23,0.0,0.0
0.0,0.0,2020-01-24,0.0,0.0
0.0,0.0,2020-01-25,0.0,0.0
0.0,0.0,2020-01-26,0.0,0.0
0.0,0.0,2020-01-27,0.0,0.0
0.0,0.0,2020-01-28,0.0,0.0
0.0,0.0,2020-01-29,0.0,0.0
0.0,0.0,2020-01-30,0.0,0.0
0.0,0.0,2020-01-31,0.0,0.0
2.0,0.0,2020-02-01,0.003000880218185598,0.0
2.0,0.0,2020-02-02,0.003000880218185598,0.0
2.0,0.0,2020-02-03,0.003000880218185598,0.0
2.0,0.0,2020-02-04,0.003000880218185598,0.0
3.0,0.0,2020-02-05,0.004501320327278398,0.0
3.0,0.0,2020-02-06,0.004501320327278398,0.0
4.0,0.0,2020-02-07,0.006001760436371196,0.0
2.0,0.0,2020-02-08,0.003000880218185598,0.0
2.0,0.0,2020-02-09,0.003000880218185598,0.0
6.0,0.0,2020-02-10,0.009002640654556795,0.0
7.0,0.0,2020-02-11,0.010503080763649593,0.0
6.0,0.0,2020-02-12,0.009002640654556795,0.0
7.0,0.0,2020-02-13,0.010503080763649593,0.0
6.0,0.0,2020-02-14,0.009002640654556795,0.0
6.0,0.0,2020-02-15,0.009002640654556795,0.0
6.0,0.0,2020-02-16,0.009002640654556795,0.0
2.0,0.0,2020-02-17,0.003000880218185598,0.0
1.0,0.0,2020-02-18,0.001500440109092799,0.0
1.0,0.0,2020-02-19,0.001500440109092799,0.0
0.0,0.0,2020-02-20,0.0,0.0
0.0,0.0,2020-02-21,0.0,0.0
0.0,0.0,2020-02-22,0.0,0.0
1.0,0.0,2020-02-23,0.001500440109092799,0.0
1.0,0.0,2020-02-24,0.001500440109092799,0.0
1.0,0.0,2020-02-25,0.001500440109092799,0.0
3.0,0.0,2020-02-26,0.004501320327278398,0.0
8.0,0.0,2020-02-27,0.012003520872742392,0.0
12.0,0.0,2020-02-28,0.01800528130911359,0.0
20.0,0.0,2020-02-29,0.030008802181855983,0.0
31.0,0.0,2020-03-01,0.046513643381876774,0.0
36.0,0.0,2020-03-02,0.05401584392734077,0.0
58.0,0.0,2020-03-03,0.08702552632738235,0.0
96.0,0.0,2020-03-04,0.14404225047290872,0.0
146.0,0.0,2020-03-05,0.21906425592754866,0.0
198.0,0.0,2020-03-06,0.29708714160037425,0.0
241.0,1.0,2020-03-07,0.3616060662913646,0.015004401090927991
310.0,2.0,2020-03-08,0.46513643381876774,0.030008802181855983
365.0,2.0,2020-03-09,0.5476606398188717,0.030008802181855983
400.0,3.0,2020-03-10,0.6001760436371196,0.04501320327278397
508.0,7.0,2020-03-11,0.762223575419142,0.10503080763649594
712.0,7.0,2020-03-12,1.0683133576740729,0.10503080763649594
1062.0,9.0,2020-03-13,1.5934673958565526,0.13503960981835192
1495.0,9.0,2020-03-14,2.2431579630937346,0.13503960981835192
1892.0,27.0,2020-03-15,2.8388326864035758,0.4051188294550558
2193.0,41.0,2020-03-16,3.2904651592405085,0.6151804447280477
2578.0,62.0,2020-03-17,3.868134601241236,0.9302728676375355
3041.0,75.0,2020-03-18,4.562838371751202,1.1253300818195993
3551.0,109.0,2020-03-19,5.328062827388529,1.635479718911151
4144.0,153.0,2020-03-20,6.217823812080559,2.2956733669119824
4715.0,184.0,2020-03-21,7.074575114372548,2.76080980073075
5492.0,223.0,2020-03-22,8.240417079137652,3.345981443276942
6329.0,245.0,2020-03-23,9.496285450448326,3.676078267277358
7265.0,299.0,2020-03-24,10.900697392559186,4.486315926187469
8992.0,430.0,2020-03-25,13.49195746096245,6.451892469099036
10598.0,587.0,2020-03-26,15.901664276165485,8.807583440374732
12291.0,722.0,2020-03-27,18.441909380859595,10.83317758765001
14323.0,978.0,2020-03-28,21.49080368253616,14.674304266927575
16265.0,1212.0,2020-03-29,24.404658374394376,18.185334122204726
17889.0,1388.0,2020-03-30,26.841373111561083,20.82610871420805
19369.0,1686.0,2020-03-31,29.062024473018425,25.297420239304593
21304.0,1941.0,2020-04-01,31.965376084112993,29.12354251749123
23443.0,2422.0,2020-04-02,35.17481747746249,36.3406594422276
25664.0,2898.0,2020-04-03,38.507294959757594,43.482754361509315
27445.0,3346.0,2020-04-04,41.17957879405187,50.20472605024506
29159.0,3810.0,2020-04-05,43.75133314103693,57.166768156435644
30357.0,4197.0,2020-04-06,45.5488603917301,62.97347137862478
31091.0,4390.0,2020-04-07,46.650183431804216,65.86932078917388
32100.0,5092.0,2020-04-08,48.16412750187885,76.40241035500533
33036.0,5450.0,2020-04-09,49.568539443989714,81.77398594555756
33254.0,5909.0,2020-04-10,49.89563538777194,88.6610060462935
33244.0,6295.0,2020-04-11,49.88063098668101,94.4527048673917
32646.0,6382.0,2020-04-12,48.98336780144352,95.75808776230244
32205.0,6440.0,2020-04-13,48.321673713333595,96.62834302557626
32102.0,6597.0,2020-04-14,48.16712838209704,98.98403399685196
30998.0,6568.0,2020-04-15,46.51064250165859,98.54890636521505
29874.0,6418.0,2020-04-16,44.82414781903828,96.29824620157585
29808.0,6338.0,2020-04-17,44.725118771838154,95.09789411430161
30242.0,6129.0,2020-04-18,45.37630977918443,91.96197428629766
30885.0,6391.0,2020-04-19,46.3410927693311,95.89312737212079
32027.0,6166.0,2020-04-20,48.05459537391508,92.51713712666199
32391.0,6012.0,2020-04-21,48.60075557362486,90.20645935865909
33067.0,6160.0,2020-04-22,49.615053087371585,92.42711072011643
33501.0,6127.0,2020-04-23,50.26624409471786,91.9319654841158
33923.0,5773.0,2020-04-24,50.899429820755024,86.62040749792729
33789.0,5870.0,2020-04-25,50.69837084613659,88.07583440374731
33803.0,5580.0,2020-04-26,50.71937700766389,83.72455808737818
32830.0,5512.0,2020-04-27,49.259448781516596,82.70425881319508
32450.0,5262.0,2020-04-28,48.68928154006133,78.9531585404631
32302.0,5007.0,2020-04-29,48.46721640391559,75.12703626227645
32271.0,4929.0,2020-04-30,48.42070276053372,73.95669297718406
32226.0,4881.0,2020-05-01,48.35318295562455,73.23648172481953
32034.0,4569.0,2020-05-02,48.065098454678726,68.55510858445
31801.0,4338.0,2020-05-03,47.715495909260106,65.08909193244563
31282.0,4227.0,2020-05-04,46.93676749264094,63.423603411352616
30791.0,4179.0,2020-05-05,46.20005139907638,62.70339215898807
29474.0,3936.0,2020-05-06,44.22397177540116,59.05732269389257
28427.0,3814.0,2020-05-07,42.653010981181,57.22678576079936
26812.0,3638.0,2020-05-08,40.22980020499613,54.586011168796034
25613.0,3519.0,2020-05-09,38.43077251419386,52.8004874389756
23939.0,3210.0,2020-05-10,35.91903577157252,48.16412750187885
22867.0,3174.0,2020-05-11,34.31056397462504,47.62396906260545
22214.0,3089.0,2020-05-12,33.33077658338744,46.348594969876565
22411.0,2977.0,2020-05-13,33.62636328487872,44.66810204769263
22131.0,2777.0,2020-05-14,33.20624005433274,41.66722182950703
21611.0,2671.0,2020-05-15,32.42601119760448,40.07675531386867
20472.0,2442.0,2020-05-16,30.717009913347784,36.64074746404616
19935.0,2578.0,2020-05-17,29.91127357476495,38.68134601241236
19857.0,2428.0,2020-05-18,29.79423924625571,36.43068584877316
19366.0,2387.0,2020-05-19,29.057523152691147,35.81550540404511
18369.0,2273.0,2020-05-20,27.561584363925625,34.10500367967932
18019.0,2154.0,2020-05-21,27.036430325743147,32.319479949858895
17430.0,2075.0,2020-05-22,26.15267110148749,31.134132263675582
17376.0,2016.0,2020-05-23,26.071647335596477,30.24887259931083
16912.0,1825.0,2020-05-24,25.37544312497742,27.383031990943582
16360.0,2137.0,2020-05-25,24.547200184758193,32.064405131313116
15886.0,2095.0,2020-05-26,23.835991573048208,31.434220285494142
14921.0,1726.0,2020-05-27,22.388066867773656,25.897596282941713
13541.0,1820.0,2020-05-28,20.317459517225593,27.308009985488944
12658.0,1890.0,2020-05-29,18.992570900896652,28.358318061853904
11844.0,1873.0,2020-05-30,17.771212652095112,28.10324324330813
11309.0,1807.0,2020-05-31,16.968477193730465,27.11295277130688
10907.0,1488.0,2020-06-01,16.36530026987516,22.32654882330085
10622.0,1470.0,2020-06-02,15.937674838783712,22.056469603664148
10439.0,1588.0,2020-06-03,15.663094298819729,23.82698893239365
10251.0,1420.0,2020-06-04,15.381011558310284,21.306249549117748
9772.0,1207.0,2020-06-05,14.662300746054832,18.110312116750084
9255.0,1191.0,2020-06-06,13.886573209653855,17.87024169929524
8848.0,1180.0,2020-06-07,13.275894085253086,17.705193287295028
8524.0,1174.0,2020-06-08,12.789751489907019,17.615166880749463
8166.0,1135.0,2020-06-09,12.252593930851797,17.02999523820327
7824.0,1081.0,2020-06-10,11.73944341354206,16.21975757929316
7498.0,991.0,2020-06-11,11.250299937977807,14.869361481109639
7341.0,937.0,2020-06-12,11.014730840850238,14.059123822199528
7115.0,810.0,2020-06-13,10.675631376195266,12.153564883651672
7047.0,774.0,2020-06-14,10.573601448776955,11.613406444378265
7136.0,747.0,2020-06-15,10.707140618486214,11.20828761492321
7237.0,729.0,2020-06-16,10.858685069504586,10.938208395286505
7181.0,654.0,2020-06-17,10.77466042339539,9.812878313466905
7125.0,600.0,2020-06-18,10.690635777286193,9.002640654556794
6939.0,591.0,2020-06-19,10.411553916994933,8.867601044738443
6949.0,544.0,2020-06-20,10.426558318085862,8.162394193464827
6883.0,508.0,2020-06-21,10.327529270885735,7.622235754191419
6680.0,512.0,2020-06-22,10.022939928739898,7.682253358555132
6497.0,497.0,2020-06-23,9.748359388775915,7.457187342191212
6350.0,471.0,2020-06-24,9.527794692739274,7.067072913827084
6134.0,448.0,2020-06-25,9.20369962917523,6.72197168873574
5899.0,480.0,2020-06-26,8.851096203538422,7.202112523645436
5593.0,473.0,2020-06-27,8.391961530156026,7.0970817160089394
5278.0,442.0,2020-06-28,7.919322895791794,6.631945282190172
5240.0,442.0,2020-06-29,7.862306171646267,6.631945282190172
5047.0,449.0,2020-06-30,7.572721230591357,6.736976089826668
4881.0,408.0,2020-07-01,7.323648172481953,6.12179564509862
4612.0,418.0,2020-07-02,6.920029783135989,6.2718396560079
4485.0,360.0,2020-07-03,6.729473889281204,5.401584392734077
4366.0,332.0,2020-07-04,6.5509215162991605,4.981461162188093
4274.0,324.0,2020-07-05,6.412881026262624,4.861425953460669
4026.0,312.0,2020-07-06,6.040771879207609,4.681373140369534
4135.0,302.0,2020-07-07,6.204319851098724,4.531329129460254
4109.0,303.0,2020-07-08,6.1653084082623115,4.546333530551181
4089.0,263.0,2020-07-09,6.135299606080456,3.9461574869140614
4131.0,253.0,2020-07-10,6.198318090662353,3.796113476004782
4244.0,238.0,2020-07-11,6.367867822989839,3.571047459640862
4230.0,223.0,2020-07-12,6.34686166146254,3.345981443276942
4271.0,213.0,2020-07-13,6.408379705935345,3.195937432367662
4077.0,212.0,2020-07-14,6.117294324771342,3.180933031276734
4099.0,202.0,2020-07-15,6.150304007171384,3.030889020367454
4187.0,171.0,2020-07-16,6.282342736771549,2.5657525865486863
4266.0,164.0,2020-07-17,6.4008775053898805,2.4607217789121907
